schlcode,cohsize,classize,tipuach,grade,coh_id,num_classrooms,avgscore
51314,117,29,11,4,1586,4,78.125
51314,117,30,11,4,1586,4,72.274994
51314,117,28,11,4,1586,4,76.260002
51314,117,30,11,4,1586,4,75.572693
51315,80,40,9,4,1588,2,73.660004
51315,80,40,9,4,1588,2,70.959999
51316,54,28,2,4,1590,2,82.555
51316,54,26,2,4,1590,2,77.074997
51317,107,37,8,4,1592,3,68.785004
51317,107,35,8,4,1592,3,73.055
51317,107,35,8,4,1592,3,71.527351
51318,97,30,4,4,1594,3,83.845001
51318,97,33,4,4,1594,3,77.169998
51318,97,34,4,4,1594,3,81.604996
51319,65,31,8,4,1596,2,68.169998
51319,65,34,8,4,1596,2,67.520004
51320,117,38,5,4,1598,3,64.434998
51320,117,39,5,4,1598,3,60.025002
51320,117,40,5,4,1598,3,61.593376
51322,43,24,1,4,1600,2,75.915001
51322,43,19,1,4,1600,2,79.613335
51323,40,40,2,4,1602,1,82.654999
51324,133,32,10,4,1604,4,66.065002
51324,133,35,10,4,1604,4,72.014999
51324,133,35,10,4,1604,4,68.785004
51324,133,31,10,4,1604,4,65.051765
51330,114,40,8,4,1606,3,67.485001
51330,114,38,8,4,1606,3,62.894997
51330,114,36,8,4,1606,3,66.452095
51331,81,35,6,4,1608,3,79.514999
51331,81,37,6,4,1608,3,81.119995
51332,115,40,4,4,1610,3,78.565002
51332,115,40,4,4,1610,3,74.050003
51332,115,35,4,4,1610,3,76.120003
51333,115,38,6,4,1612,3,78.369995
51333,115,39,6,4,1612,3,81.119995
51333,115,38,6,4,1612,3,78.892853
51334,116,40,0,4,1614,3,79.845001
51334,116,39,0,4,1614,3,77.029999
51334,116,37,0,4,1614,3,84.876663
51335,77,38,3,4,1616,2,69.684998
51335,77,39,3,4,1616,2,66.635002
51338,79,39,12,4,1618,2,70.175003
51338,79,40,12,4,1618,2,62.735001
51339,70,34,18,4,1620,2,89.18
51339,70,36,18,4,1620,2,79.277054
51340,72,29,8,4,1622,3,70.600006
51340,72,32,8,4,1622,3,76.949997
51341,89,31,10,4,1624,3,65.75
51341,89,29,10,4,1624,3,71.625
51341,89,29,10,4,1624,3,68.415001
51346,111,37,13,4,1626,3,66.389999
51346,111,36,13,4,1626,3,65.764999
51346,111,38,13,4,1626,3,52.62534
51347,117,39,4,4,1628,3,69.080002
51347,117,40,4,4,1628,3,67.815002
51347,117,38,4,4,1628,3,62.460278
51352,113,32,3,4,1630,4,82.884995
51352,113,34,3,4,1630,4,79.279999
51352,113,34,3,4,1630,4,78.050308
51353,50,26,9,4,1632,2,72.020004
51353,50,24,9,4,1632,2,71.479996
51354,111,37,6,4,1634,3,67.349998
51354,111,39,6,4,1634,3,67.525002
51354,111,35,6,4,1634,3,65.755005
51356,21,21,23,4,1636,1,68.809998
51360,92,25,3,4,1638,3,67.100006
51360,92,33,3,4,1638,3,71.764999
51360,92,31,3,4,1638,3,64.544998
51361,86,29,5,4,1640,3,73.520004
51361,86,31,5,4,1640,3,74.535004
51361,86,26,5,4,1640,3,81.115005
51364,54,26,9,4,1642,2,82.759995
51364,54,28,9,4,1642,2,80.372864
51365,73,38,0,4,1644,2,87.739998
51365,73,35,0,4,1644,2,88.445
51367,18,19,24,4,1646,1,63
51368,66,34,1,4,1648,2,84.529999
51368,66,32,1,4,1648,2,88.68
51369,56,28,10,4,1650,2,50.794998
51369,56,28,10,4,1650,2,83.674644
51371,115,40,4,4,1652,3,73.604996
51371,115,38,4,4,1652,3,72.940002
51371,115,37,4,4,1652,3,69.218971
51372,116,40,9,4,1654,3,65.104996
51372,116,40,9,4,1654,3,65.904999
51372,116,36,9,4,1654,3,62.41
51375,55,28,16,4,1656,2,64.699997
51375,55,27,16,4,1656,2,68.324997
51412,30,30,3,4,1658,1,70
61001,57,29,45,4,1660,2,72.970001
61001,57,28,45,4,1660,2,70.163216
61003,74,31,10,4,1662,3,73.214996
61003,74,33,10,4,1662,3,67.074997
61004,34,34,14,4,1664,1,74
61005,56,28,26,4,1666,2,68.055
61005,56,28,26,4,1666,2,70.604996
61006,31,31,33,4,1668,1,65.790001
61007,52,40,32,4,1670,2,71
61008,43,33,50,4,1672,2,64.395004
61009,80,40,15,4,1674,2,70.055
61009,80,40,15,4,1674,2,79.544998
61012,77,38,7,4,1676,2,73.290001
61012,77,39,7,4,1676,2,77.745003
61013,47,23,32,4,1678,2,67.32
61013,47,24,32,4,1678,2,64.115005
61016,65,34,28,4,1680,2,60.98
61016,65,35,28,4,1680,2,55.720001
61018,57,27,14,4,1682,2,72.209999
61018,57,30,14,4,1682,2,77.567795
61019,27,25,44,4,1684,1,58.18
61020,86,36,48,4,1686,3,66.029999
61020,86,39,48,4,1686,3,63.739998
61021,93,32,4,4,1688,3,69.889999
61021,93,31,4,4,1688,3,71.404999
61021,93,30,4,4,1688,3,69.705002
61022,19,19,1,4,1690,1,78.025002
61023,98,34,23,4,1692,3,59.84
61023,98,36,23,4,1692,3,65.020004
61023,98,30,23,4,1692,3,69.535004
61025,66,36,23,4,1695,2,63.764999
61025,66,34,23,4,1695,2,49.544998
61026,60,25,31,4,1697,3,57.220001
61026,60,25,31,4,1697,3,69.584999
61027,92,29,31,4,1699,4,54.965
61027,92,29,31,4,1699,4,57.200001
61027,92,30,31,4,1699,4,48.257561
61029,95,36,14,4,1701,4,68.599998
61029,95,25,14,4,1701,4,66.354996
61029,95,26,14,4,1701,4,61.195
61030,65,34,15,4,1702,2,68.259995
61030,65,32,15,4,1702,2,67.66864
61031,35,34,28,4,1704,1,74.225006
61032,101,34,17,4,1706,3,67.339996
61032,101,35,17,4,1706,3,60.605003
61032,101,33,17,4,1706,3,67.234009
61033,97,34,10,4,1708,3,65.059998
61033,97,34,10,4,1708,3,64.120003
61033,97,31,10,4,1708,3,56.104393
61035,35,35,38,4,1710,1,48.23
61037,69,35,20,4,1712,2,72.360001
61037,69,34,20,4,1712,2,75.055641
61038,56,28,40,4,1714,2,59.325001
61038,56,28,40,4,1714,2,73.479996
61040,28,28,53,4,1716,1,66.5
61042,30,30,45,4,1718,1,65.214996
61043,15,15,13,4,1720,1,74.800003
61047,17,17,36,4,1721,1,78.645004
61049,84,43,2,4,1723,3,71.740005
61049,84,41,2,4,1723,3,67.489746
61055,63,26,9,4,1725,3,74.044998
61055,63,24,9,4,1725,3,76.055
61058,33,33,32,4,1727,1,58.18
61063,22,22,0,4,1729,1,74.690002
61064,22,22,1,4,1731,1,80
61070,108,27,35,4,1734,5,49.754997
61070,108,29,35,4,1734,5,65.455002
61070,108,13,35,4,1734,5,62.064999
61073,77,34,30,4,1736,3,81.854996
61073,77,29,30,4,1736,3,82.634995
61074,101,34,5,4,1738,3,70.135002
61074,101,34,5,4,1738,3,73.744995
61074,101,33,5,4,1738,3,64.792343
61077,19,20,34,4,1740,1,57.345001
61079,48,26,12,4,1742,2,70.919998
61079,48,26,12,4,1742,2,69.525002
61080,18,17,2,4,1744,1,79.544998
61081,13,14,2,4,1746,1,
61084,30,30,3,4,1748,1,71.604996
61085,44,21,25,4,1750,2,63.394997
61085,44,23,25,4,1750,2,75.869995
61089,70,37,4,4,1752,2,69.889999
61089,70,33,4,4,1752,2,67.835007
61093,47,28,50,4,1754,2,55.43
61093,47,19,50,4,1754,2,75.434998
61095,43,23,5,4,1756,2,67.150002
61095,43,20,5,4,1756,2,74.584999
61101,61,31,24,4,1758,2,71.270004
61102,76,33,17,4,1760,3,77.395004
61102,76,32,17,4,1760,3,71.82
61103,74,34,54,4,1762,3,67.025002
61103,74,32,54,4,1762,3,70.117737
61104,41,21,35,4,1764,2,66.57
61104,41,20,35,4,1764,2,57.5
61105,118,30,24,4,1766,4,60.489998
61105,118,28,24,4,1766,4,53.355003
61105,118,32,24,4,1766,4,68.203888
61106,65,36,46,4,1768,2,70.940002
61106,65,30,46,4,1768,2,63.875
61108,15,17,0,4,1770,1,82.059998
61109,15,15,2,4,1772,1,80.290001
61116,48,25,38,4,1773,2,65.660004
61116,48,25,38,4,1773,2,65.332001
61117,47,28,52,4,1775,2,62.740002
61117,47,19,52,4,1775,2,47.895
61121,26,18,32,4,1777,2,71.82
61124,22,22,58,4,1779,1,67.5
61136,54,30,27,4,1781,2,78.360001
61136,54,28,27,4,1781,2,80.699997
61137,64,33,35,4,1783,2,74.369995
61137,64,32,35,4,1783,2,67.111542
61138,61,25,31,4,1785,3,67.485001
61138,61,27,31,4,1785,3,63.105003
61139,51,8,49,4,1787,3,66.110001
61139,51,20,49,4,1787,3,68.103249
61140,28,29,25,4,1789,1,58.23
61141,43,25,52,4,1791,2,53.93
61141,43,22,52,4,1791,2,49.035
61142,29,28,51,4,1793,1,76.089996
61143,150,30,21,4,1795,7,69.055
61143,150,33,21,4,1795,7,72.345001
61143,150,33,21,4,1795,7,72
61143,150,9,21,4,1795,7,72.352371
61145,78,34,6,4,1797,3,67.660004
61145,78,31,6,4,1797,3,65.010002
61149,62,31,37,4,1799,2,65.334999
61149,62,32,37,4,1799,2,62.535
61150,53,41,46,4,1801,2,66.150002
61151,51,27,42,4,1803,2,70.240005
61151,51,24,42,4,1803,2,78.381866
61152,32,32,32,4,1805,1,62.450001
61156,14,14,67,4,1807,1,52.68
61157,70,27,10,4,1809,3,65.514999
61157,70,29,10,4,1809,3,58.84
61163,65,25,51,4,1811,3,63.650002
61163,65,29,51,4,1811,3,66.675003
61165,56,26,60,4,1813,2,60.459999
61165,56,30,60,4,1813,2,67.415001
61168,21,21,0,4,1815,1,74.899994
61169,33,37,25,4,1817,1,55.419998
61171,22,22,2,4,1819,1,66.625
61172,42,32,43,4,1821,2,61.529999
61173,19,22,36,4,1823,1,73.75
61174,66,37,13,4,1825,2,74.209999
61174,66,38,13,4,1825,2,74.445
61178,46,24,52,4,1827,2,60.525002
61178,46,22,52,4,1827,2,69.358337
61179,78,26,21,4,1829,3,75.104996
61179,78,27,21,4,1829,3,72.32
61179,78,27,21,4,1829,3,71.830002
61183,97,30,11,4,1831,4,80.414993
61183,97,33,11,4,1831,4,73.860001
61183,97,26,11,4,1831,4,71.979996
61186,66,34,4,4,1833,2,68.850006
61186,66,34,4,4,1833,2,74.260002
61188,70,36,20,4,1835,2,65.705002
61188,70,36,20,4,1835,2,70.201927
61193,56,29,17,4,1839,2,70.974998
61193,56,27,17,4,1839,2,78.630005
61196,50,26,23,4,1841,2,53.035
61196,50,27,23,4,1841,2,56.959999
61197,56,20,42,4,1843,3,69.264999
61197,56,23,42,4,1843,3,66.468689
61198,8,8,0,4,1845,1,76.065002
61199,55,23,46,4,1847,3,69.474998
61199,55,23,46,4,1847,3,68.645004
61202,67,36,19,4,1849,2,64.184998
61202,67,33,19,4,1849,2,68.595001
61203,33,22,52,4,1851,2,44.635002
61204,66,34,17,4,1853,2,67.440002
61204,66,33,17,4,1853,2,73.925003
61205,46,23,35,4,1855,2,60.130001
61205,46,23,35,4,1855,2,59.899998
61209,8,8,3,4,1857,1,82.07
61211,41,27,53,4,1859,2,71.240005
61213,56,27,0,4,1861,2,58.510002
61213,56,27,0,4,1861,2,66.249908
61218,24,26,43,4,1863,1,40.5
61219,73,37,5,4,1865,2,62.029999
61219,73,39,5,4,1865,2,67.737061
61220,18,19,48,4,1867,1,59.474998
61221,71,36,26,4,1869,2,65.580002
61221,71,35,26,4,1869,2,69.369995
61223,50,26,24,4,1871,2,61.364998
61223,50,24,24,4,1871,2,62.889999
61224,48,23,1,4,1873,2,64.565002
61224,48,26,1,4,1873,2,70.846512
61227,52,29,33,4,1875,2,61.614998
61227,52,28,33,4,1875,2,58.18
61228,78,35,17,4,1877,3,56.59
61228,78,35,17,4,1877,3,55.050003
61232,40,18,12,4,1880,2,70.529999
61232,40,22,12,4,1880,2,65.736313
61233,115,39,8,4,1882,3,73.614998
61233,115,40,8,4,1882,3,72.400002
61233,115,39,8,4,1882,3,77.010002
61235,20,27,19,4,1884,1,64.625
61237,111,33,8,4,1886,4,66.095001
61237,111,33,8,4,1886,4,67.089996
61237,111,34,8,4,1886,4,60.619999
61238,58,29,26,4,1888,2,70.104996
61238,58,29,26,4,1888,2,65.544998
61239,97,34,26,4,1890,3,64.705002
61239,97,30,26,4,1890,3,62.215
61239,97,33,26,4,1890,3,70.606873
61240,42,22,44,4,1892,2,64.980003
61240,42,20,44,4,1892,2,70.884995
61243,19,19,66,4,1894,1,53.205002
61244,88,27,22,4,1896,3,65
61244,88,31,22,4,1896,3,78.334999
61244,88,30,22,4,1896,3,70.07
61246,48,29,59,4,1898,2,59.669998
61247,118,29,10,4,1900,4,67.035004
61247,118,31,10,4,1900,4,72.175003
61247,118,31,10,4,1900,4,71.005005
61247,118,27,10,4,1900,4,67.398232
61248,71,36,19,4,1901,2,61.834999
61248,71,37,19,4,1901,2,59.330002
61251,102,31,27,4,1903,4,75.615005
61251,102,30,27,4,1903,4,86.440002
61251,102,29,27,4,1903,4,73.590179
61252,82,26,42,4,1905,3,57.32
61252,82,28,42,4,1905,3,66.199997
61252,82,29,42,4,1905,3,61.445
61253,73,37,16,4,1907,2,66.389999
61253,73,36,16,4,1907,2,69.354996
61254,48,28,10,4,1909,2,65.479996
61254,48,29,10,4,1909,2,62.198502
61255,68,35,23,4,1911,2,75.764999
61255,68,35,23,4,1911,2,76.029999
61256,64,31,5,4,1913,2,71.18
61256,64,32,5,4,1913,2,72.130005
61261,75,32,23,4,1915,3,69.654999
61261,75,31,23,4,1915,3,57.439999
61262,63,33,13,4,1917,2,69.970001
61262,63,33,13,4,1917,2,66.129997
61265,20,20,36,4,1919,1,56.360001
61269,60,31,10,4,1921,2,68.395004
61269,60,31,10,4,1921,2,69.675003
61270,9,10,0,4,1923,1,64
61271,19,19,34,4,1925,1,63.910004
61274,30,30,16,4,1927,1,66.184998
61277,80,27,24,4,1929,3,59.869999
61277,80,25,24,4,1929,3,63.52
61277,80,27,24,4,1929,3,67.112228
61278,75,38,15,4,1931,2,70.014999
61278,75,37,15,4,1931,2,69.770004
61284,58,30,25,4,1933,2,65.690002
61284,58,30,25,4,1933,2,67.659996
61290,55,27,29,4,1935,2,77.574997
61290,55,28,29,4,1935,2,71.839996
61291,81,39,8,4,1937,2,67.525002
61291,81,42,8,4,1937,2,76.720001
61292,34,34,49,4,1939,1,64.555
61293,77,31,7,4,1941,2,79.43
61294,54,28,36,4,1943,2,71.434998
61294,54,26,36,4,1943,2,64.019997
61297,87,37,23,4,1945,3,58.685001
61297,87,40,23,4,1945,3,63.175407
61298,66,32,7,4,1947,2,73.399994
61298,66,33,7,4,1947,2,67.985001
61299,32,32,19,4,1949,1,43.275002
61300,60,30,12,4,1951,2,61.02
61300,60,31,12,4,1951,2,64.854996
61305,30,25,44,4,1953,1,55.5
61308,20,20,40,4,1955,1,62.150002
61311,72,36,25,4,1957,2,66.044998
61311,72,36,25,4,1957,2,62.675003
61312,50,24,41,4,1959,2,63.360001
61312,50,26,41,4,1959,2,60.52
61314,44,27,36,4,1961,2,62.084999
61314,44,17,36,4,1961,2,61.934998
61316,70,36,9,4,1963,2,74.089996
61316,70,35,9,4,1963,2,78.150002
61317,76,32,5,4,1965,3,73.75
61317,76,33,5,4,1965,3,70.649994
61318,30,30,54,4,1967,1,66.5
61320,80,35,11,4,1969,3,75.014999
61320,80,34,11,4,1969,3,74.955002
61321,49,27,35,4,1971,2,49.434998
61321,49,27,35,4,1971,2,53.294998
61325,66,32,17,4,1973,2,66.535004
61325,66,34,17,4,1973,2,65.779999
61326,54,27,18,4,1975,2,78.225006
61326,54,27,18,4,1975,2,75.130005
61327,61,27,5,4,1977,2,77.014999
61327,61,33,5,4,1977,2,75.148712
61329,87,30,16,4,1979,3,72.169998
61329,87,30,16,4,1979,3,71.404999
61329,87,28,16,4,1979,3,75.595001
61331,59,30,8,4,1981,2,71.014999
61331,59,30,8,4,1981,2,65.830002
61332,28,30,7,4,1983,1,60.475002
61334,25,26,3,4,1985,1,72.82
61335,62,32,30,4,1987,2,58.075001
